2019-07-13 12:34:45 DEBUG PPClient:57 - server: http://localhost:14002/DocBase2, amount: 1000
2019-07-13 12:34:45 DEBUG PPClient:61 - srcFile: massProductionTestData.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-0.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-1.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-2.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-3.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-4.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-5.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-6.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-7.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-8.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-9.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-10.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-11.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-12.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-13.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-14.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-15.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-16.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-17.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-18.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-19.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-20.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-21.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-22.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-23.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-24.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-25.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-26.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-27.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-28.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-29.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-30.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-31.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-32.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-33.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-34.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-35.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-36.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-37.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-38.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-39.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-40.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-41.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-42.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-43.xml
2019-07-13 12:34:45 DEBUG PPClient:75 - File created: C:\QA-DEV\workspaces\qa-utils\post.processing\input\input-44.xml
